NAME,A,Period,Eccentricity,OM,PLANETDISCMETH,Mass,Gravity,R,Rstar
Kepler-33 c,0.118876,13.17562,0,90,Transit,0.0305282,3.71261,0.28523,1.82
Kepler-275 b,0.0926511,10.300682,,90,Transit,0.0178911,,0.208761,1.383
HD 13908 b,0.153755,19.382,0.046,185,RV,0.865,,,1.67
HD 50499 b,3.87172,2457.8717,0.253675,258.799,RV,1.74473,0,,1.18426
CoRoT-14 b,0.0269122,1.51214,0,90,Transit,7.69464,4.20818,1.09,1.21
Kepler-176 d,0.170666,25.751974,,90,Transit,0.019783,,0.223927,0.891
Kepler-319 d,0.196363,31.781925,,90,Transit,0.0173806,,0.2043,0.903
Kepler-80 d,0.0413591,3.072186,,90,Transit,0.0128437,,0.155232,0.637
Kepler-155 b,0.0641261,5.931194,,90,Transit,0.0155228,,0.186457,0.62
Kepler-342 d,0.226833,39.459357,,90,Transit,0.0195472,,0.222143,1.472
CoRoT-4 b,0.0903166,9.20205,0,90,Transit,0.717419,3.09936,1.19,1.17
HAT-P-19 b,0.0466409,4.008778,0.067,256,Transit,0.292273,2.75466,1.132,0.82
HD 154857 c,5.35635,3452,0.06,352,RV,2.57917,,,1.86203
Kepler-24 c,0.105496,12.3318,0,90,Transit,0.0236121,,0.249577,1.07
Kepler-47 c,0.895669,303.158,0,,Transit,0.0729242,,0.419091,0.964
GJ 163 b,0.0606753,8.631,0.11,97,RV,0.033876,,,
Kepler-133 c,0.195273,31.517586,,90,Transit,0.0242535,,0.253368,1.425
HIP 116454 b,0.0784741,9.1205,0.205,-59.1,Transit,0.03719,,0.231,0.716
Kepler-33 f,0.253499,41.02902,0,90,Transit,0.0654095,3.59288,0.39754,1.82
